,source,target,with_ch
0,A-Bomb (HAS),Interior #92079,['A-Bomb (HAS)']
1,A-Bomb (HAS),Interior #92083,['A-Bomb (HAS)']
2,A-Bomb (HAS),Interior #92087,['A-Bomb (HAS)']
3,A.I.M.,2 of 4 - 4XLS,"['A.I.M.', 'Sally Floyd']"
4,A.I.M.,When the Unliving Strike,['A.I.M.']
5,A.I.M.,The Enemy Within!,['A.I.M.']
6,A.I.M.,Death Before Dishonor!,['A.I.M.']
7,A.I.M.,The End of A.I.M.!,['A.I.M.']
8,A.I.M.,The Red Skull Lives!,['A.I.M.']
9,A.I.M.,He Who Holds the Cosmic Cube,['A.I.M.']
10,A.I.M.,The Maddening Mystery of the Inconceivable Adaptoid!,['A.I.M.']
11,A.I.M.,If This Be... Modok,['A.I.M.']
12,A.I.M.,A Time to Die -- A Time to Live!,['A.I.M.']
13,A.I.M.,At the Mercy of the Maggia,"['A.I.M.', 'Jasper Sitwell']"
14,A.I.M.,"Look Homeward, Avenger",['A.I.M.']
15,A.I.M.,The Fearful Secret of Bucky Barnes,"['A.I.M.', 'Baron Strucker', 'M.O.D.O.K.']"
16,A.I.M.,Madness In the Slums,"['A.I.M.', 'M.O.D.O.K.']"
17,A.I.M.,In Sin Airy X,['A.I.M.']
18,Aaron Stack,Interior #25635,"['Aaron Stack', 'Gargoyle (Isaac Christians)', 'Immortus']"
19,Aaron Stack,Interior #25638,"['Aaron Stack', 'Gargoyle (Isaac Christians)', 'Immortus']"
20,Aaron Stack,Interior #25648,"['Aaron Stack', 'Gargoyle (Isaac Christians)', 'Immortus']"
21,Aaron Stack,Interior #25650,"['Aaron Stack', 'Gargoyle (Isaac Christians)', 'Immortus']"
22,Aaron Stack,Interior #25652,"['Aaron Stack', 'Gargoyle (Isaac Christians)']"
23,Aaron Stack,Interior #25654,['Aaron Stack']
24,Aaron Stack,Interior #90002,['Aaron Stack']
25,Aaron Stack,Interior #92371,['Aaron Stack']
26,Aaron Stack,Interior #92373,"['Aaron Stack', 'Mach IV']"
27,Abomination (Emil Blonsky),Whosoever Harms the Hulk..!,['Abomination (Emil Blonsky)']
28,Abomination (Emil Blonsky),The Stars Mine Enemy,['Abomination (Emil Blonsky)']
29,Abomination (Emil Blonsky),Revenge,['Abomination (Emil Blonsky)']
30,Abomination (Emil Blonsky),The Day of the Locust!,['Abomination (Emil Blonsky)']
31,Abomination (Emil Blonsky),Warfare In Wonderland!,['Abomination (Emil Blonsky)']
32,Abomination (Emil Blonsky),The Abomination Proclamation!,['Abomination (Emil Blonsky)']
33,Abomination (Emil Blonsky),An Intruder In the Mind!,"['Abomination (Emil Blonsky)', 'Leader', 'M.O.D.O.K.']"
34,Abomination (Emil Blonsky),Countdown Part 4: The Abomination,['Abomination (Emil Blonsky)']
35,Abomination (Ultimate),Free Preview of THE INCREDIBLE HULK #50,['Abomination (Ultimate)']
36,Abomination (Ultimate),Interior #92099,['Abomination (Ultimate)']
37,Absorbing Man,"The Stronger I Am, the Sooner I Die","['Absorbing Man', 'Jane Foster']"
38,Absorbing Man,The Vengeance of the Thunder God,"['Absorbing Man', 'Jane Foster', 'Odin']"
39,Absorbing Man,With My Hammer In Hand,"['Absorbing Man', 'Odin']"
40,Absorbing Man,The Power!  The Passion!  The Pride!,"['Absorbing Man', 'Balder', 'Jane Foster']"
